contract,mutation_type,pattern,delta,f90_target,f90_width,converged,num_intervals,exec_time,success
LockupContract_c,add_to_sub,overlap,1,releasedAmount,inf,False,6,0.10,True
LockupContract_c,add_to_sub,overlap,3,releasedAmount,inf,False,6,0.13,True
LockupContract_c,add_to_sub,overlap,6,releasedAmount,inf,False,6,0.18,True
LockupContract_c,original_has_division,diff,10,releasedAmount,inf,False,6,0.15,True
LockupContract_c,original_has_division,diff,15,releasedAmount,inf,False,6,0.10,True
LockupContract_c,original_has_division,diff,1,releasedAmount,inf,False,6,0.12,True
LockupContract_c,original_has_division,diff,3,releasedAmount,inf,False,6,0.09,True
LockupContract_c,original_has_division,diff,6,releasedAmount,inf,False,6,0.09,True
LockupContract_c,original_has_division,overlap,10,releasedAmount,inf,False,6,0.08,True
LockupContract_c,original_has_division,overlap,15,releasedAmount,inf,False,6,0.08,True
LockupContract_c,original_has_division,overlap,1,releasedAmount,inf,False,6,0.08,True
LockupContract_c,original_has_division,overlap,3,releasedAmount,inf,False,6,0.08,True
LockupContract_c,original_has_division,overlap,6,releasedAmount,inf,False,6,0.08,True
LockupContract_c,sub_to_add,diff,10,releasedAmount,inf,False,6,0.08,True
LockupContract_c,sub_to_add,diff,15,releasedAmount,inf,False,6,0.08,True
LockupContract_c,sub_to_add,diff,1,releasedAmount,inf,False,6,0.08,True
LockupContract_c,sub_to_add,diff,3,releasedAmount,inf,False,6,0.08,True
LockupContract_c,sub_to_add,diff,6,releasedAmount,inf,False,6,0.10,True
LockupContract_c,sub_to_add,overlap,10,releasedAmount,inf,False,6,0.07,True
LockupContract_c,sub_to_add,overlap,15,releasedAmount,inf,False,6,0.08,True
LockupContract_c,sub_to_add,overlap,1,releasedAmount,inf,False,6,0.08,True
LockupContract_c,sub_to_add,overlap,3,releasedAmount,inf,False,6,0.08,True
LockupContract_c,sub_to_add,overlap,6,releasedAmount,inf,False,6,0.08,True
LockupContract_c,swap_add_sub,diff,10,releasedAmount,inf,False,6,0.07,True
LockupContract_c,swap_add_sub,diff,15,releasedAmount,inf,False,6,0.08,True
LockupContract_c,swap_add_sub,diff,1,releasedAmount,inf,False,6,0.08,True
LockupContract_c,swap_add_sub,diff,3,releasedAmount,inf,False,6,0.08,True
LockupContract_c,swap_add_sub,diff,6,releasedAmount,inf,False,6,0.08,True
LockupContract_c,swap_add_sub,overlap,10,releasedAmount,inf,False,6,0.10,True
LockupContract_c,swap_add_sub,overlap,15,releasedAmount,inf,False,6,0.08,True
LockupContract_c,swap_add_sub,overlap,1,releasedAmount,inf,False,6,0.08,True
LockupContract_c,swap_add_sub,overlap,3,releasedAmount,inf,False,6,0.08,True
LockupContract_c,swap_add_sub,overlap,6,releasedAmount,inf,False,6,0.08,True
LockupContract_c,swap_mul_div,diff,10,releasedAmount,inf,False,6,0.08,True
LockupContract_c,swap_mul_div,diff,15,releasedAmount,inf,False,6,0.07,True
LockupContract_c,swap_mul_div,diff,1,releasedAmount,inf,False,6,0.07,True
LockupContract_c,swap_mul_div,diff,3,releasedAmount,inf,False,6,0.08,True
LockupContract_c,swap_mul_div,diff,6,releasedAmount,inf,False,6,0.07,True
LockupContract_c,swap_mul_div,overlap,10,releasedAmount,inf,False,6,0.08,True
LockupContract_c,swap_mul_div,overlap,15,releasedAmount,inf,False,6,0.08,True
LockupContract_c,swap_mul_div,overlap,1,releasedAmount,inf,False,6,0.10,True
LockupContract_c,swap_mul_div,overlap,3,releasedAmount,inf,False,6,0.08,True
LockupContract_c,swap_mul_div,overlap,6,releasedAmount,inf,False,6,0.08,True
PoolKeeper_c,add_to_sub,diff,10,keeperTip,0,True,3,0.06,True
PoolKeeper_c,add_to_sub,diff,15,keeperTip,0,True,3,0.06,True
PoolKeeper_c,add_to_sub,diff,1,keeperTip,0,True,3,0.06,True
PoolKeeper_c,add_to_sub,diff,3,keeperTip,0,True,3,0.06,True
PoolKeeper_c,add_to_sub,diff,6,keeperTip,0,True,3,0.06,True
PoolKeeper_c,add_to_sub,overlap,10,keeperTip,0,True,3,0.06,True
PoolKeeper_c,add_to_sub,overlap,15,keeperTip,0,True,3,0.06,True
PoolKeeper_c,add_to_sub,overlap,1,keeperTip,0,True,3,0.06,True
PoolKeeper_c,add_to_sub,overlap,3,keeperTip,0,True,3,0.06,True
PoolKeeper_c,add_to_sub,overlap,6,keeperTip,0,True,3,0.06,True
PoolKeeper_c,original_has_division,diff,10,keeperTip,0,True,3,0.06,True
PoolKeeper_c,original_has_division,diff,15,keeperTip,0,True,3,0.06,True
PoolKeeper_c,original_has_division,diff,1,keeperTip,0,True,3,0.06,True
PoolKeeper_c,original_has_division,diff,3,keeperTip,0,True,3,0.10,True
PoolKeeper_c,original_has_division,diff,6,keeperTip,0,True,3,0.07,True
PoolKeeper_c,original_has_division,overlap,10,keeperTip,0,True,3,0.07,True
PoolKeeper_c,original_has_division,overlap,15,keeperTip,0,True,3,0.06,True
PoolKeeper_c,original_has_division,overlap,1,keeperTip,0,True,3,0.07,True
PoolKeeper_c,original_has_division,overlap,3,keeperTip,0,True,3,0.06,True
PoolKeeper_c,original_has_division,overlap,6,keeperTip,0,True,3,0.06,True
PoolKeeper_c,swap_add_sub,diff,10,keeperTip,0,True,3,0.07,True
PoolKeeper_c,swap_add_sub,diff,15,keeperTip,0,True,3,0.07,True
PoolKeeper_c,swap_add_sub,diff,1,keeperTip,0,True,3,0.07,True
PoolKeeper_c,swap_add_sub,diff,3,keeperTip,0,True,3,0.06,True
PoolKeeper_c,swap_add_sub,diff,6,keeperTip,0,True,3,0.07,True
PoolKeeper_c,swap_add_sub,overlap,10,keeperTip,0,True,3,0.06,True
PoolKeeper_c,swap_add_sub,overlap,15,keeperTip,0,True,3,0.07,True
PoolKeeper_c,swap_add_sub,overlap,1,keeperTip,0,True,3,0.06,True
PoolKeeper_c,swap_add_sub,overlap,3,keeperTip,0,True,3,0.06,True
PoolKeeper_c,swap_add_sub,overlap,6,keeperTip,0,True,3,0.10,True
PoolKeeper_c,swap_mul_div,diff,10,keeperTip,0,True,3,0.06,True
PoolKeeper_c,swap_mul_div,diff,15,keeperTip,0,True,3,0.07,True
PoolKeeper_c,swap_mul_div,diff,1,keeperTip,0,True,3,0.06,True
PoolKeeper_c,swap_mul_div,diff,3,keeperTip,0,True,3,0.07,True
PoolKeeper_c,swap_mul_div,diff,6,keeperTip,0,True,3,0.07,True
PoolKeeper_c,swap_mul_div,overlap,10,keeperTip,0,True,3,0.06,True
PoolKeeper_c,swap_mul_div,overlap,15,keeperTip,0,True,3,0.06,True
PoolKeeper_c,swap_mul_div,overlap,1,keeperTip,0,True,3,0.06,True
PoolKeeper_c,swap_mul_div,overlap,3,keeperTip,0,True,3,0.06,True
PoolKeeper_c,swap_mul_div,overlap,6,keeperTip,0,True,3,0.07,True
ThorusBond_c,original_has_division,diff,10,return,,False,3,0.07,True
ThorusBond_c,original_has_division,diff,15,return,,False,3,0.07,True
ThorusBond_c,original_has_division,diff,1,return,,False,3,0.06,True
ThorusBond_c,original_has_division,diff,3,return,,False,3,0.06,True
ThorusBond_c,original_has_division,diff,6,return,,False,3,0.08,True
ThorusBond_c,original_has_division,overlap,10,return,,False,3,0.06,True
ThorusBond_c,original_has_division,overlap,15,return,,False,3,0.06,True
ThorusBond_c,original_has_division,overlap,1,return,,False,3,0.06,True
ThorusBond_c,original_has_division,overlap,3,return,,False,3,0.05,True
ThorusBond_c,original_has_division,overlap,6,return,,False,3,0.06,True
ThorusBond_c,swap_mul_div,diff,10,return,,False,3,0.05,True
ThorusBond_c,swap_mul_div,diff,15,return,,False,3,0.06,True
ThorusBond_c,swap_mul_div,diff,1,return,,False,3,0.05,True
ThorusBond_c,swap_mul_div,diff,3,return,,False,3,0.05,True
ThorusBond_c,swap_mul_div,diff,6,return,,False,3,0.08,True
ThorusBond_c,swap_mul_div,overlap,10,return,,False,3,0.08,True
ThorusBond_c,swap_mul_div,overlap,15,return,,False,3,0.07,True
ThorusBond_c,swap_mul_div,overlap,1,return,,False,3,0.07,True
ThorusBond_c,swap_mul_div,overlap,3,return,,False,3,0.06,True
ThorusBond_c,swap_mul_div,overlap,6,return,,False,3,0.09,True
